symbol,korean_meaning,gil_hyung,context_guide,cultural_note
돼지,재물과 복,길몽,돼지가 품으로 들어오거나 집으로 들어오는 상황,돼지(豚)의 발음이 돈(Money)과 같고 다산과 풍요를 상징함.
똥,큰 재물,길몽,똥을 만지거나 뒤집어쓰는 상황,농경 사회에서 비료는 곧 수확(재물)을 의미. 불쾌하지 않아야 길몽.
조상님,계시 또는 경고,중립,"조상님의 표정이 밝으면 길몽, 어둡거나 화를 내면 흉몽",조상은 집안의 수호신 역할을 하며 미래의 일을 예지해주는 존재로 인식.
이빨 빠짐,가족의 우환,흉몽,"윗이빨은 윗사람,  아랫이빨은 아랫사람의 변고 암시",신체발부 수지부모 사상에 따라 신체 훼손을 가족 관계의 단절로 해석.
용,권력과 태몽,길몽,용이 승천하거나 여의주를 무는 상황,왕권과 최고의 권위를 상징. 태몽일 경우 큰 인물이 될 아이를 암시.
신발 잃어버림,배신 또는 이별,흉몽,신발이 없어져서 당황하거나 남의 신을 신는 상황,신발은 사회적 지위나 의지처를 상징. 이를 잃는 것은 기반 상실을 의미.
불,사업 번창,길몽,집이 활활 타오르는 상황,불길의 크기만큼 기운이 솟아남을 의미. 끄면 오히려 흉몽.
맑은 물,소원 성취,길몽,맑은 물에서 수영하거나 물을 마시는 상황,생명력과 정화를 의미.
흙탕물,질병 또는 근심,흉몽,흙탕물에 빠지거나 바라보는 상황,탁한 기운은 건강의 적신호나 정신적 혼란을 상징.
뱀,재물 또는 임신,길몽,뱀이 집안으로 들어오거나 몸을 감는 상황,지혜와 재물을 지키는 수호신(업구렁이). 나가면 재물이 나감.
비행기,신분 상승 또는 여행,길몽,비행기를 타고 높이 나는 상황,현대적 해석이 가미된 상징으로 지위의 상승이나 새로운 시작을 의미.
거울 깨짐,파경 또는 불운,흉몽,거울이 저절로 깨지거나 금이 가는 상황,자아의 분열 혹은 부부/연인 관계의 깨짐을 암시.
상여(장례),재물과 출세,길몽,상여가 나가거나 장례 행렬을 보는 상황,죽음은 낡은 것의 소멸과 새로운 탄생(재탄생)을 의미하는 역설적 길몽.
호랑이,권세와 명예,길몽,호랑이가 집을 지켜주거나 새끼를 품는 상황,산신령의 사자로 여겨지며 강력한 보호와 권력을 상징.
까치,반가운 소식,길몽,까치가 아침에 머리 위에서 우는 상황,우리 민족에게 가장 친숙한 길조로 귀한 손님이나 소식을 의미.
