source,dream_content,historical_interpretation,advice,persona_tone
동의보감(Dongui Bogam),하늘을 날아다니는 꿈,상기(上氣)되어 기운이 위로 뜬 상태이니 폐와 심장을 다스려야 한다.,마음을 차분히 하고 기를 아래로 내리는 탕약을 쓰거나 명상을 하시오.,"자네, 기운이 너무 떠 있구먼."
정조실록(Jeongjo Sillok),용이 구름 속에서 우는 꿈,가뭄에 단비가 내릴 징조이자 국운이 상승할 길조,나라에 경사가 생기거나 귀한 인재를 얻을 것이니 준비하시오.,"하늘이 돕는 징조일세."
민간 설화(Folklore),죽은 부모님이 쌀독을 채워주는 꿈,조상의 음덕으로 재물이 들어올 징조,하는 일에 더욱 매진하면 큰 성과가 있을 것이오.,"조상님이 자네를 굽어살피시는군."
태몽(Taemong),탐스러운 복숭아를 치마폭에 받는 꿈,귀하고 예쁜 딸을 낳을 태몽,재주가 뛰어나고 사람들에게 사랑받는 아이가 태어날 것이오.,"아주 귀한 아이가 찾아올 걸세."
한의학(TCM),무거운 짐을 지고 걷지 못하는 꿈,비위(소화기)가 약해져 몸이 무거운 상태,식사를 조절하고 비위를 보하는 약을 드시오.,"속이 더부룩하고 몸이 무겁지 않은가?"
토정비결(Tojeong Bigyeol),맑은 시냇물에 발을 씻는 꿈,근심 걱정이 사라지고 새로운 일이 시작될 징조,지난 과오를 씻고 새 마음으로 시작하면 길하오.,"이제야 비로소 근심이 걷히는구려."
삼국유사(Samguk Yusa),서라벌에 홍수가 나는 꿈,나라에 큰 변고나 외침이 있을 흉조 (혹은 역설적으로 왕이 될 징조),주변을 살피고 경거망동하지 말며 내실을 다지시오.,"범상치 않은 징조이니 매사 조심하게."
조선왕조실록(Yiseonggye),무너진 집에서 서까래 세 개를 등에 지고 나오는 꿈,서까래 세 개는 한자의 '왕(王)'자를 형상화함. 왕이 될 징조.,하늘의 명을 받았으니 대업을 준비하시오.,"서까래 셋이라... 그것은 곧 왕(王)이 아니겠는가!"
고려사(Wanggeon),조상이 나타나 곡식을 건네주는 꿈,가문의 번창과 새로운 국가 건설의 기틀 마련,인재를 모으고 민심을 살피면 큰 뜻을 이룰 것이오.,"가문의 기운이 심상치 않군, 곧 큰일이 있겠어."
삼국사기(Kim Yushin),자신의 몸이 거대한 바위로 변하는 꿈,동요하지 않는 굳건한 의지와 나라의 기둥이 될 운명,흔들리지 말고 대의를 따르면 만인의 추앙을 받을 것이오.,"자네의 의지가 태산과 같으니 누가 막겠는가."
